***********************************************
   114 :36.004532+-0.000000i   3.398679+0.000000i
   115 :12.695343+-0.000000i   -14.494491+0.000000i
   116 :-10.764786+-0.000000i   -31.825329+0.000000i
   117 :-30.376671+0.000000i   -46.137894+0.000000i
   118 :-43.029976+-0.000000i   -55.126495+-0.000000i
   119 :-47.077690+0.000000i   -57.041096+-0.000000i
   120 :-42.606121+-0.000000i   -51.028355+0.000000i
   121 :-31.353312+-0.000000i   -37.334469+-0.000000i
   122 :-16.301254+-0.000000i   -17.322323+0.000000i
   123 :-1.031414+-0.000000i   6.707783+0.000000i
   124 :11.020895+-0.000000i   31.864838+-0.000000i
   125 :17.258551+0.000000i   55.113945+0.000000i
   126 :16.424477+0.000000i   73.743027+-0.000000i
   127 :8.814133+0.000000i   85.756737+0.000000i
   128 :-3.835429+-0.000000i   90.131371+-0.000000i
   129 :-18.749226+0.000000i   86.888229+-0.000000i
   130 :-32.719296+-0.000000i   76.985840+-0.000000i
   131 :-42.780403+0.000000i   62.067009+-0.000000i
   132 :-46.814171+-0.000000i   44.124836+-0.000000i
   133 :-43.957577+0.000000i   25.161385+0.000000i
   134 :-34.734856+0.000000i   6.912239+-0.000000i
   135 :-20.893379+0.000000i   -9.321056+-0.000000i
   136 :-4.985115+-0.000000i   -22.710585+0.000000i
   137 :10.209864+-0.000000i   -32.831985+-0.000000i
   138 :22.289698+0.000000i   -39.527412+-0.000000i
   139 :29.734289+0.000000i   -42.757610+0.000000i
   140 :32.197308+0.000000i   -42.496532+0.000000i
   141 :30.525225+0.000000i   -38.704273+-0.000000i
   142 :26.501579+0.000000i   -31.387302+0.000000i
   143 :22.375975+0.000000i   -20.725161+0.000000i
   144 :20.283651+0.000000i   -7.219035+0.000000i
   145 :21.686876+0.000000i   8.193692+0.000000i
   146 :26.965574+0.000000i   24.110899+0.000000i
   147 :35.253021+-0.000000i   38.755615+-0.000000i
   148 :44.561005+0.000000i   50.188625+-0.000000i
   149 :52.173382+0.000000i   56.610332+0.000000i
   150 :55.232059+-0.000000i   56.698837+-0.000000i
   151 :51.391499+-0.000000i   49.907764+-0.000000i
   152 :39.401978+-0.000000i   36.653831+-0.000000i
   153 :19.492491+-0.000000i   18.341877+0.000000i
   154 :-6.536923+-0.000000i   -2.792574+-0.000000i
   155 :-35.544109+0.000000i   -24.003908+0.000000i
   156 :-63.562256+0.000000i   -42.467106+0.000000i
   157 :-86.502991+0.000000i   -55.733643+0.000000i
   158 :-100.915833+0.000000i   -62.131149+0.000000i
   159 :-104.645325+0.000000i   -61.025074+0.000000i
   160 :-97.253128+-0.000000i   -52.895111+-0.000000i
   161 :-80.114899+-0.000000i   -39.215626+-0.000000i
   162 :-56.167034+-0.000000i   -22.169477+0.000000i
   163 :-29.346560+0.000000i   -4.256175+-0.000000i
   164 :-3.838081+-0.000000i   12.120802+-0.000000i
   165 :16.729794+-0.000000i   25.011826+-0.000000i
   166 :29.971979+-0.000000i   33.156689+-0.000000i
   167 :35.180382+-0.000000i   36.066666+0.000000i
   168 :33.412891+-0.000000i   33.956177+0.000000i
   169 :27.217075+0.000000i   27.560566+0.000000i
   170 :20.041965+0.000000i   17.898521+0.000000i
   171 :15.455161+0.000000i   6.043225+-0.000000i
   172 :16.325970+0.000000i   -7.040903+0.000000i
   173 :24.140976+0.000000i   -20.567410+-0.000000i
   174 :38.597965+-0.000000i   -33.900009+-0.000000i
   175 :57.567570+0.000000i   -46.456429+-0.000000i
   176 :77.439789+-0.000000i   -57.591827+0.000000i
   177 :93.794731+0.000000i   -66.515488+-0.000000i
   178 :102.271774+-0.000000i   -72.285652+-0.000000i
   179 :99.464638+0.000000i   -73.901772+0.000000i
   180 :83.669807+-0.000000i   -70.487854+-0.000000i
   181 :55.332870+0.000000i   -61.527000+-0.000000i
   182 :17.099869+-0.000000i   -47.088821+0.000000i
   183 :-26.545040+0.000000i   -27.985163+0.000000i
   184 :-69.994003+0.000000i   -5.799662+-0.000000i
   185 :-107.450806+0.000000i   17.237240+-0.000000i
   186 :-133.916061+0.000000i   38.524055+-0.000000i
   187 :-146.030106+0.000000i   55.468132+0.000000i
   188 :-142.626877+0.000000i   65.907326+-0.000000i
   189 :-124.888756+0.000000i   68.485420+0.000000i
   190 :-96.080826+0.000000i   62.905567+-0.000000i
   191 :-60.919094+0.000000i   50.006298+-0.000000i
   192 :-24.698477+0.000000i   31.640543+-0.000000i
   193 :7.654074+0.000000i   10.376695+0.000000i
   194 :32.412651+0.000000i   -10.916879+0.000000i
   195 :47.627247+-0.000000i   -29.528557+0.000000i
   196 :53.330673+0.000000i   -43.310127+0.000000i
   197 :51.353058+-0.000000i   -50.960327+0.000000i
   198 :44.793396+-0.000000i   -52.138916+0.000000i
   199 :37.264412+-0.000000i   -47.402645+0.000000i
   200 :32.069668+0.000000i   -37.992252+-0.000000i
   201 :31.480877+0.000000i   -25.528055+-0.000000i
   202 :36.261246+0.000000i   -11.689307+0.000000i
   203 :45.524879+-0.000000i   2.055757+0.000000i
   204 :56.955559+-0.000000i   14.616495+-0.000000i
   205 :67.332504+-0.000000i   25.323179+-0.000000i
   206 :73.249779+-0.000000i   33.859287+-0.000000i
   207 :71.877998+-0.000000i   40.122871+-0.000000i
   208 :61.610508+0.000000i   44.072308+-0.000000i
   209 :42.460621+-0.000000i   45.612194+-0.000000i
   210 :16.132183+0.000000i   44.558327+0.000000i
   211 :-14.251961+-0.000000i   40.696419+-0.000000i
   212 :-44.704956+0.000000i   33.917011+0.000000i
   213 :-71.101227+0.000000i   24.384632+0.000000i
   214 :-89.925438+0.000000i   12.684256+-0.000000i
